"lob","benchmark_type","category","mcg","prcnt_bnmrk","prcnt_actul","label_bnmrk","label_actul"
"com","loosely managed","thor","m-282",0.05,0.03,"0.05%","0.03%"
"com","east north central","ort","s-560",0.11,0.11,"0.11%","0.11%"
"com","mountain","id","m-610",0,0,"0%","0%"
"com","loosely managed","gs","s-220",0,0,"0%","0%"
"com","east north central","bh","b-002-ip",0.01,0.01,"0.01%","0.01%"
"com","south atlantic","gs","s-250",0.02,0.03,"0.02%","0.03%"
"com","others","card","m-230",0.07,0.07,"0.07%","0.07%"
"com","east south central","ort","s-490",0,0,"0%","0%"
"com","pacific","unclx","a-apc",0,0,"0%","0%"
"com","east south central","cv","s-1320",0,0,"0%","0%"
"com","moderately managed","ort","mg-md",0.04,0.04,"0.04%","0.04%"
"com","middle atlantic","gs","s-180",0,0,"0%","0%"
"com","south atlantic","cv","s-292",0,0,"0%","0%"
"com","middle atlantic","gs","s-860",0,0,"0%","0%"
"com","mountain","gs","s-1200",0,0,"0%","0%"
"com","middle atlantic","hns","s-940",0,0,"0%","0%"
"com","west south central","gi","m-565",0.02,0.01,"0.02%","0.01%"
"com","moderately managed","gi","m-570",0.02,0.02,"0.02%","0.02%"
"com","mountain","card","m-505",0.02,0.02,"0.02%","0.02%"
"com","others","cv","s-140",0,0,"0%","0%"
"com","moderately managed","neuro","m-185",0.01,0.02,"0.01%","0.02%"
"com","mountain","ped","p-360",0,0,"0%","0%"
"com","middle atlantic","ort","s-110",0,0,"0%","0%"
"com","weighted national","ort","s-820",0.06,0.06,"0.06%","0.06%"
"com","new england","ort","s-500",0,0.01,"0%","0.01%"
"com","pacific","ort","s-120",0,0,"0%","0%"
"com","mountain","neo","p-265",0.14,0.24,"0.14%","0.24%"
"com","mountain","gi","m-370",0.01,0.01,"0.01%","0.01%"
"com","moderately managed","neo","p-359",0,0,"0%","0%"
"com","east north central","ped","p-114",0,0,"0%","0%"
"com","east north central","ort","s-1056",0,0,"0%","0%"
"com","weighted national","cv","s-535",0,0,"0%","0%"
